turkiye,adana,adiyaman,afyonkarahisar,agri,aksaray,amasya,ankara,antalya,ardahan,artvin,aydin,balikesir,bartin,batman,bayburt,bilecik,bingol,bitlis,bolu,burdur,bursa,canakkale,cankiri,corum,denizli,diyarbakir,duzce,edirne,elazig,erzincan,erzurum,eskisehir,gaziantep,giresun,gumushane,hakkari,hatay,igdir,isparta,istanbul,izmir,kahramanmaras,karabuk,karaman,kars,kastamonu,kayseri,kilis,kirikkale,kirklareli,kirsehir,kocaeli,konya,kutahya,malatya,manisa,mardin,mersin,mugla,mus,nevsehir,nigde,ordu,osmaniye,rize,sakarya,samsun,sanliurfa,siirt,sinop,sirnak,sivas,tekirdag,tokat,trabzon,tunceli,usak,van,yalova,yozgat,zonguldak
adana,aladag,besni,basmakci,diyadin,agacoren,goynucek,akyurt,akseki,cildir,ardanuc,merlin,ayvalik,amasra,besiri,aydintepe,bozuyuk,adakli,adilcevaz,dortdivan,aglasun,buyukorhan,ayvacik,atkaracalar,alaca,acipayam,baglar,akcakoca,enez,agin,cayirli,askale,alpu,araban,alucra,kelkit,cukurca,altinozu,aralik,aksu,adalar,aliaga,afsin,eflani,ayranci,akyaka,abana,akkisla,elbeyli,bahsili,babaeski,akcakent,basiskele,ahirli,altintas,akcadag,ahmetli,dargecit,akdeniz,bodrum,bulanik,acigol,altunhisar,akkus,bahce,ardesen,adapazari,alacam,akcakale,aydinlar,ayancik,beytussebap,akincilar,cerkezkoy,almus,akcaabat,cemisgezek,banaz,bahcesaray,altinova,akdagmadeni,alapli
adiyaman,ceyhan,celikhan,bayat,dogubayazit,eskil,gumushacikoy,altindag,aksu,damal,arhavi,buharkent,balya,kurucasile,gercus,demirozu,golpazari,genc,ahlat,gerede,altinyayla,gemlik,bayramic,bayramoren,bayat,akkoy,bismil,cilimli,havsa,alacakaya,ilic,aziziye,beylikova,islahiye,bulancak,kose,center,belen,karakoyunlu,atabey,arnavutkoy,balcova,andirin,eskipazar,basyayla,arpacay,agli,bunyan,merkez,baliseyh,demirkoy,akpinar,cayirova,akoren,aslanapa,arapgir,akhisar,derik,anamur,dalaman,haskoy,avanos,bor,aybasti,duzici,camlihemsin,akyazi,asarcik,birecik,baykan,boyabat,cizre,altinyayla,corlu,artova,arakli,hozat,esme,baskale,armutlu,aydincik,caycuma
afyonkarahisar,cukurova,gerger,bolvadin,eleskirt,gulagac,hamamozu,ayas,alanya,gole,borcka,cine,bandirma,merkez,hasankeyf,merkez,inhisar,karliova,guroymak,goynuk,bucak,gursu,biga,cerkes,bogazkale,babadag,cermik,cumayeri,ipsala,aricak,kemah,cat,cifteler,karkamis,camoluk,kurtun,semdinli,dortyol,merkez,egirdir,atasehir,bayindir,cagliyancerit,merkez,ermenek,digor,arac,develi,musabeyli,celebi,kofcaz,boztepe,darica,aksehir,cavdarhisar,arguvan,alasehir,kiziltepe,aydincik,datca,korkut,derinkuyu,camardi,camas,hasanbeyli,cayeli,arifiye,atakum,bozova,eruh,dikmen,guclukonak,divrigi,hayrabolu,basciftlik,arsin,mazgirt,karahalli,caldiran,ciftlikkoy,bogazliyan,devrek
agri,feke,golbasi,cay,hamur,guzelyurt,merkez,bala,demre,hanak,hopa,didim,bigadic,ulus,kozluk,,merkez,kigi,hizan,kibriscik,cavdir,harmancik,bozcaada,eldivan,dodurga,baklan,cinar,golyaka,kesan,baskil,kemaliye,hinis,gunyuzu,nizip,canakci,merkez,yuksekova,erzin,tuzluca,gelendost,avcilar,bayrakli,ekinozu,ovacik,kazimkarabekir,kagizman,azdavay,felahiye,polateli,delice,luleburgaz,cicekdagi,derince,altinekin,domanic,battalgazi,demirci,mazidagi,bozyazi,fethiye,malazgirt,gulsehir,ciftlik,catalpinar,kadirli,derepazari,erenler,ayvacik,ceylanpinar,kurtalan,duragan,idil,dogansar,malkara,erbaa,besikduzu,merkez,merkez,catak,cinarcik,candir,eregli
aksaray,imamoglu,kahta,cobanlar,merkez,merkez,merzifon,beypazari,dosemealti,merkez,merkez,germencik,burhaniye,,merkez,,osmaneli,merkez,merkez,mengen,celtikci,inegol,can,ilgaz,iskilip,bekilli,cungus,gumusova,lalapasa,karakocan,merkez,horasan,han,nurdagi,dereli,siran,,hassa,,gonen,bagcilar,bergama,elbistan,safranbolu,merkez,merkez,bozkurt,hacilar,,karakecili,merkez,kaman,dilovasi,beysehir,dumlupinar,darende,golmarmara,merkez,camliyayla,kavaklidere,merkez,hacibektas,merkez,caybasi,merkez,findikli,ferizli,bafra,halfeti,merkez,erfelek,merkez,gemerek,marmaraereglisi,merkez,carsibasi,nazimiye,sivasli,edremit,merkez,cayiralan,gokcebey
amasya,karaisali,merkez,dazkiri,patnos,ortakoy,suluova,camlidere,elmali,posof,murgul,incirliova,dursunbey,,sason,,pazaryeri,solhan,mutki,merkez,golhisar,iznik,eceabat,kizilirmak,kargi,beyagac,dicle,kaynasli,meric,keban,otlukbeli,ispir,inonu,oguzeli,dogankent,torul,,iskenderun,,keciborlu,bahcelievler,beydag,goksun,yenice,sariveliler,sarikamis,catalzeytin,incesu,,keskin,pehlivankoy,merkez,gebze,bozkir,emet,dogansehir,gordes,midyat,erdemli,koycegiz,varto,kozakli,ulukisla,fatsa,sumbas,guneysu,geyve,canik,harran,pervari,gerze,silopi,golova,merkez,niksar,caykara,ovacik,ulubey,ercis,termal,cekerek,merkez
ankara,karatas,samsat,dinar,taslicay,sariyahsi,tasova,cankaya,finike,,savsat,karacasu,edremit,,,,sogut,yayladere,tatvan,mudurnu,karamanli,karacabey,ezine,korgun,lacin,bozkurt,egil,merkez,merkez,kovancilar,refahiye,karacoban,mahmudiye,sahinbey,espiye,,,kirikhan,,merkez,bakirkoy,bornova,merkez,,,selim,cide,kocasinan,,merkez,pinarhisar,mucur,golcuk,celtik,gediz,doganyol,kirkagac,nusaybin,gulnar,marmaris,,merkez,,golkoy,toprakkale,hemsin,hendek,carsamba,hilvan,sirvan,merkez,uludere,gurun,muratli,pazar,dernekpazari,pertek,,gevas,,kadisehri,
antalya,kozan,sincik,emirdag,tutak,,,cubuk,gazipasa,,yusufeli,watermelon,erdek,,,,yenipazar,yedisu,,seben,kemer,keles,gelibolu,kursunlu,mecitozu,buldan,ergani,yigilca,suloglu,maden,tercan,karayazi,mihalgazi,sehitkamil,eynesil,,,kumlu,,sarkikaraagac,basaksehir,buca,nurhak,,,susuz,daday,melikgazi,,sulakyurt,vize,,izmit,cihanbeyli,hisarcik,hekimhan,koprubasi,omerli,mezitli,merkez,,urgup,,gulyali,,ikizdere,karapurcek,havza,merkez,,sarayduzu,,hafik,saray,resadiye,duzkoy,pulumur,,gurpinar,,merkez,
ardahan,pozanti,tut,evciler,,,,elmadag,gundogmus,,,kocarli,gomec,,,,,,,yenicaga,merkez,kestel,gokceada,merkez,merkez,cal,hani,,uzunkopru,merkez,uzumlu,koprukoy,mihaliccik,yavuzeli,gorele,,,merkez,,senirkent,bayrampasa,cesme,pazarcik,,,,devrekani,ozvatan,,yahsihan,,,kandira,cumra,merkez,kale,kula,savur,mut,milas,,,,gurgentepe,,iyidere,karasu,ilkadim,siverek,,turkeli,,imranli,sarkoy,sulusaray,hayrat,,,merkez,,saraykent,
artvin,saimbeyli,,hocalar,,,,etimesgut,ibradi,,,pavilion,gonen,,,,,,,,tefenni,mudanya,lapseki,orta,oguzlar,cameli,hazro,,,palu,,narman,odunpazari,,guce,,,reyhanli,,sutculer,besiktas,cigli,turkoglu,,,,doganyurt,pinarbasi,,,,,karamursel,derbent,pazarlar,kuluncak,merkez,yesilli,silifke,ortaca,,,,ikizce,,kalkandere,kaynarca,kavak,suruc,,,,kangal,,turhal,koprubasi,,,muradiye,,sarikaya,
aydin,saricam,,ihsaniye,,,,evren,kas,,,kusadasi,havran,,,,,,,,yesilova,mustafakemalpasa,merkez,sabanozu,ortakoy,cardak,kayapinar,,,sivrice,,oltu,saricakaya,,kesap,,,samandag,,uluborlu,beykoz,dikili,,,,,hanonu,sarioglan,,,,,kartepe,derebucak,saphane,merkez,salihli,,tarsus,ula,,,,kabaduz,,merkez,kocaali,ladik,viransehir,,,,koyulhisar,,yesilyurt,macka,,,ozalp,,sefaatli,
balikesir,seyhan,,iscehisar,,,,golbasi,kemer,,,kuyucak,ivrindi,,,,,,,,,nilufer,yenice,yaprakli,osmancik,civril,kocakoy,,,,,olur,seyitgazi,,merkez,,,yayladagi,,yalvac,beylikduzu,foca,,,,,ihsangazi,sariz,,,,,korfez,doganhisar,simav,puturge,sarigol,,toroslar,yatagan,,,,kabatas,,pazar,pamukova,ondokuzmayis,,,,,merkez,,zile,merkez,,,saray,,sorgun,
bartin,tufanbeyli,,kiziloren,,,,gudul,kepez,,,center,kepsut,,,,,,,,,orhaneli,,,sungurlu,guney,kulp,,,,,palandoken,sivrihisar,,piraziz,,,,,yenisarbademli,beyoglu,gaziemir,,,,,inebolu,talas,,,,,,emirgazi,tavsanli,yazihan,saruhanli,,yenisehir,,,,,korgan,,,sapanca,salipazari,,,,,sarkisla,,,of,,,,,yenifakili,
batman,yumurtalik,,merkez,,,,haymana,konyaalti,,,nazilli,manyas,,,,,,,,,orhangazi,,,ugurludag,honaz,lice,,,,,pasinler,tepebasi,,sebinkarahisar,,,,,,buyukcekmece,guzelbahce,,,,,kure,tomarza,,,,,,eregli,,yesilyurt,selendi,,,,,,,kumru,,,serdivan,tekkekoy,,,,,susehri,,,salpazari,,,,,yerkoy,
bayburt,yuregir,,sandikli,,,,kalecik,korkuteli,,,soke,marmara,,,,,,,,,osmangazi,,,,kale,silvan,,,,,pazaryolu,,,tirebolu,,,,,,catalca,karabaglar,,,,,merkez,yahyali,,,,,,guneysinir,,,soma,,,,,,,merkez,,,sogutlu,terme,,,,,ulas,,,surmene,,,,,,
bilecik,,,sinanpasa,,,,kazan,kumluca,,,sultanhisar,merkez,,,,,,,,,yenisehir,,,,merkez,sur,,,,,senkaya,,,yaglidere,,,,,,cekmekoy,karaburun,,,,,pinarbasi,yesilhisar,,,,,,hadim,,,turgutlu,,,,,,,mesudiye,,,tarakli,vezirkopru,,,,,yildizeli,,,tonya,,,,,,
bingol,,,suhut,,,,kecioren,manavgat,,,yenipazar,savastepe,,,,,,,,,yildirim,,,,saraykoy,yenisehir,,,,,tekman,,,,,,,,,esenler,karsiyaka,,,,,senpazar,,,,,,,halkapinar,,,,,,,,,,persembe,,,,yakakent,,,,,zara,,,vakfikebir,,,,,,
bitlis,,,sultandagi,,,,kizilcahamam,muratpasa,,,,sindirgi,,,,,,,,,,,,,serinhisar,,,,,,tortum,,,,,,,,,esenyurt,kemalpasa,,,,,seydiler,,,,,,,huyuk,,,,,,,,,,ulubey,,,,,,,,,,,,yomra,,,,,,
bolu,,,,,,,mamak,serik,,,,susurluk,,,,,,,,,,,,,tavas,,,,,,uzundere,,,,,,,,,eyup,kinik,,,,,taskopru,,,,,,,ilgin,,,,,,,,,,unye,,,,,,,,,,,,,,,,,,
burdur,,,,,,,nallihan,,,,,,,,,,,,,,,,,,,,,,,,yakutiye,,,,,,,,,fatih,kiraz,,,,,tosya,,,,,,,kadinhani,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bursa,,,,,,,polatli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gaziosmanpasa,konak,,,,,,,,,,,,karapinar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canakkale,,,,,,,pursaklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gungoren,menderes,,,,,,,,,,,,karatay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cankiri,,,,,,,sereflikochisar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kadikoy,menemen,,,,,,,,,,,,kulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corum,,,,,,,sincan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kagithane,narlidere,,,,,,,,,,,,meram,,,,,,,,,,,,,,,,,,,,,,,,,,,,
denizli,,,,,,,yenimahalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kartal,odemis,,,,,,,,,,,,sarayonu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diyarbakir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kucukcekmece,seferihisar,,,,,,,,,,,,selcuklu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duzce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maltepe,selcuk,,,,,,,,,,,,seydisehir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edirne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pendik,tire,,,,,,,,,,,,taskent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elazig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sancaktepe,torbali,,,,,,,,,,,,tuzlukcu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erzincan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sariyer,urla,,,,,,,,,,,,yalihuyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erzurum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sile,,,,,,,,,,,,,yunak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eskisehir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silivri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaziantep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sisli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giresun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sultanbeyli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gumushane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sultangazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hakkari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tuzla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,umraniye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
igdir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uskudar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isparta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zeytinburnu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
istanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
izmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kahramanmaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karabuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kastamonu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kayseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kirikkale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kirklareli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kirsehir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kocaeli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
konya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kutahya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malatya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mersin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mugla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nevsehir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nigde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ordu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osmaniye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sakarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samsun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanliurfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sirnak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sivas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tekirdag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tokat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trabzon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunceli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
van,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yalova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yozgat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zonguldak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
